"""2017-04-23 23:04:04""","""相信格力品牌，在网上购物很久了，也没什么担心，卖家发货很快，安装师傅也很快安装了，四个空调收了410元安装费，也可以接受。才安装完，几台空调就便宜了三百，不得不接受。只是至今未收到当时约定好的赠品，一台风扇，特意等了几天问的，是不给发了？还是要我好评晒单才能交换来那个万分珍贵的风扇？淘宝十年，几乎没有中差评，但此次对你们的诚信质疑，只能差评。我买了四台，当时失误分了三个单拍的，先评这一个","""z***0""",4
"""2017-04-07 06:06:16""","""上午拍的，下午就送货了，神速！第二天就安装好了！！送货和安装师傅态度都不错，家住17楼，家里原先有一台春兰空调，所以加了拆机费，再加上接了两米的铜管和两米的出水管，一共花了320，没算高空作业费！拍的时候是活动的第二百多名，在前三百内，留有照片为证，希望卖家诚信的送一台风扇，后面再追评！","""熊***妹""",4
"""2017-04-01 17:58:17""","""好空调，格力造啊！为了董小姐也必须买格力。就是格力啊你可长点心吧，别找什么日日顺物流合作啦！耽误我一整天的时间在家等空调，啥事都没有干成。催物流吧，送货的人家理都不理你！我买的海尔洗衣机人家都是自己海尔送货上门，速度那个快。当然格力家客服还是很不错?都帮忙催，虽然人家物流还是晚上六点才送到。尔康啊，记住以后别找日日顺啦！","""小***2""",0
"""2017-03-19 23:09:37""","""<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>","""t***9""",4
"""2017-04-20 22:58:29""","""上市公司就是不一样，从下单开始，一直有客服&ldquo;跟踪&rdquo;，昨天下单的，快递师傅今天中午就到了，还帮忙送上楼，快递师傅也相当不错，提前电话预约，非常有礼貌，然后打电话预约，下午就有师傅主动联系过来安装了，安装师傅也很好，没有乱收费任何东西，下次买电器就买格力的，质量真的可以，服务还非常不错，100个赞。","""此***羽""",3
"""2017-04-15 10:13:21""","""三个师傅过来安装，不到一小时就装好了。态度超级好的，钻孔墙弄脏了还说帮我擦好再走。空调很好高大上，装在宝宝房间他很喜欢呢。本来要买海尔的，犹豫再三还是选择了格力，希望格力售后也给力些。不要让人失望。","""生***你""",3
"""2017-04-19 11:16:58""","""还不错，比实体店便宜，就是安装花钱，打1个孔60，支架40，墙有保温层收20，一共120，可以接受。制冷热效果都不错，手机控制","""柠***3""",3
"""2017-04-22 00:14:07""","""物美价廉，比电器商场还是要实惠多了，机器是没有开过箱的真品，下次还会介绍朋友购买的，物流也是相当的快第二天货就到了下午就装好了，效果不错?","""深***悟""",2
"""2017-03-06 12:02:14""","""2月底买的，送货到家，很方便，家里挂的空调都是买的格力的。现在这个天气不冷不热，用的少，晚上凉，用的暖风，效果还是可以的。遥控器需要电池，家里没电池，不想出去买，手机上下载了个遥控精灵，可以使用，很方便。安装一共花了一百多，一米铜管和一个支架，没收高空作业费，很棒。","""青***4""",4
"""2017-04-19 21:57:01""","""格力真是好速度，隔天到货，因为几天前安装了一台，故有安装师傅王孟松的电话，他看我急，当天傍晚就来安装，安装位置有点特殊所以他和拍档（未知名，人特好）弄到7点半才弄好，让人感动的是不吃饭，不收多给的钱。他们代表的是公司形象，值得点赞！！！在此向两位师傅道声感谢！","""慧***9""",4
"""2017-04-18 14:43:58""","""好空调的确是格力造，一直在美的、海尔、奥克斯、格力，这四家徘徊，不知道买哪家的，前三家便宜些，但想想，美的集团锅碗瓢盆啥都做，觉得它应该不够专业，海尔主要是做洗衣机的，其它产品我有用过，过得去，但无特色。奥克斯，感觉身边见得少，不想入手。格力是主打空调的，相信它的专业，于是选择了格力，今天安装试用了，静音效果好。制冷，制热都很出色，不愧是专业厂商大品牌。与我想象的和期望的吻合，很满意！愉快的购物！客服和售后都很热情。这次买了台，计划再过一阵子，再买台客厅中央空调和客房空调。还来格力天猫官方旗舰店！","""t***2""",4
"""2017-03-06 22:51:30""","""外观不错，价格也合适，放在客房，使用机会也不会太高，安装好后用制热试机，外机声音很大，换制冷就不会，不知道怎么回事。照理说两种模式声音也不会差这么多啊。","""b***2""",4
"""2017-04-23 17:41:57""","""物流牟师傅绝对的五星好评，因为是老房子没有电梯，师傅直接两个箱子一起给扛上六楼的，而且态度特别好，辛苦啦，安装师傅也特别好，空调还没送到，就打电话过来询问，中午空调到的，下午下着雨来安装，需要在室外工作，只收了高空作业费，已经安装好了，好评","""空***晴""",0
"""2017-03-17 16:38:08""","""看到有活动果断下手入货，在这里不得不说下安装服务的两位师傅，态度非常好，全程每个程序都小心翼翼的，稍微有点东西都是找东西盖着，连垃圾都帮忙清理了，服务没得说！！！","""m***1""",3
"""2017-04-23 15:31:24""","""已经装好，两台机都试了功能，制冷，制热效果很好，就是室外机噪音有点大。支持格力。好样的。为你点赞?","""x***子""",4
"""2017-04-08 11:25:47""","""精致漂亮，适合我的小书房，真的很静音啊，制冷制热效果很棒，买空调就选格力，安装迅速，服务态度一级棒，物流神速啊！","""粉***阳""",3
"""2017-04-20 10:52:41""","""整体服务满意！工人来收我两个高空作业费经售后人员调解发现一个高空作业费的收取条件不成立，工人又没收，说明格力还是很负责的，明码标价，该收的收不该收的不能乱收，这还是大品牌风度，再次也提醒后来人，安装的各种费用细节一定要详细了解，多跟售后沟通，明明白白的就不会有矛盾，机器很满意，服务也满意","""诸***8""",3
"""2017-03-28 13:34:51""","""空调安装好质量没问题，试了一下制热效果很好！买对了","""p***2""",0
"""2017-04-15 15:51:09""","""?(???????)?安装好了！按约送来的，当天也安装好了，我家在18楼有阳台，安装的时候也没有收安装费之类的。也没有乱说缺材料之类的！给安装师父和配送师父一个五星好评！","""小***o""",2
"""2017-03-26 07:44:39""","""制热可以，制冷没试，室外机比我7年前格力室外机噪音大，室外机外观有摩损，我就收了100块钱的高空费，安装人员很细心，整体还可以，","""t***1""",3
"""2017-03-16 09:42:54""","""买了四台空调   对格力还是比较相信的   希望这次买的空调质量一如既往 安装四台空调  高空费和加长铜管共1150     其中三台延长了铜管   加长铜管这块的长度  作为消费者真的难以测量特别是外面的长度  只能安装人员测量  希望他们能够实事求是  对于空调的制热情况  只是安装时试了下感觉不错 因为还没入住   等入住后才能认真感受    总得来说对于空调目前还是好评   再说下客服   客服回复的真慢","""路***8""",4
"""2017-04-23 15:10:09""","""发货速度很快，安装师父的态度也很好，必须给点赞！","""t***7""",2
"""2017-04-19 11:36:20""","""空调质量很好！安装师傅很给力！好空调，果然是格力造，价格也实惠，喜欢！","""r***桑""",4
"""2017-04-21 17:03:58""","""很好，很好，很好，重要事说三遍！！！","""t***1""",2
"""2017-04-20 20:29:16""","""格力空调给力，不愧是大牌，安装师傅态度不错，支架和打孔也要另外收费，总体满意。","""萍***正""",1
"""2017-04-16 11:41:07""","""空调质量很好，安静，制冷快，非常满意。","""t***5""",3
"""2017-04-17 20:56:02""","""我家买了两台空调，第二天就到了，隔一天就来安装了，安装师傅很专业非常满意，格力就是好，五星好评！","""老***用""",0
"""2017-04-19 09:21:29""","""空调很不错，安装上去很大方很美观，制冷也很不错，相信大品牌果然给力","""黄***4""",3
"""2017-04-12 14:16:50""","""我在这家店一共买了3台格力空调，这几天已经用上了，空调质量好,安装师傅很细心也很专业我非常满意，客服也很有好，请大家放心购买，五星好评。","""招***x""",0
"""2017-04-23 19:25:08""","""相信格力大品牌，过段时间再来追评，安装师傅不错，但是安装材料费+高空作业费收了820元诶","""落***号""",3
"""2017-04-19 11:21:48""","""格力空调一直不错， 当天买， 当天到， 当天安装好， 爽， 好评 ！！ 各项服务了。","""w***6""",4
"""2017-04-19 11:52:10""","""空调很好，大品牌有保障，客服红红耐心细致，点个赞！","""东***果""",3
"""2017-04-20 08:40:38""","""格力质量没得说，安装也正规，赞一个，红四月真心省钱","""y***i""",4
"""2017-04-15 08:56:06""","""非常不错的，安装师傅也是很耐心，不愧大牌，值得信赖","""原***具""",3
"""2017-04-19 11:42:08""","""首先，物流不错，两个小伙子给扛到四楼了。安装的还凑合吧，一开始说是要100元高空作业费，后来我和他们理论了，才不收了，提醒后来的买家，一定注意保护好咱们消费者的权益。空调用着很好，不错！","""世***1""",3
"""2017-04-17 19:48:50""","""安装好了，安装师傅服务挺好，机器用着不错。","""快***购""",3
"""2017-04-21 17:43:41""","""物流快，寄回老家的，显示签收了就确认收货了，还没打电话回去确认，相信这个牌子","""4***凌""",2
"""2017-04-19 09:22:51""","""格力的空调很不错，物流也很快，安装上去很大方很美观，制冷也很给力，很快就凉了。不错不错","""黄***4""",3
"""2017-04-16 13:08:54""","""空调制冷快，静音，安装师傅认真，态度好，快递员送货上门，服务周到，全五分，好评。","""梁***明""",3
"""2017-04-15 09:33:37""","""格力是好东西，必须要赞下，客服反应也是超好。但是装机全部用了三个小时，其中室外机用了二个小时，感觉师傅已经尽力了，只是室内机装好还能轻轻用手摇得动，不知道说什么好，心里不是很踏实，不知道会不会影响以后使用。","""长***8""",4
"""2017-04-22 20:09:37""","""格力空调就是好，静音好喜欢，安装及时，客服人员效率高，很满意的一次购物。","""量***量""",2
"""2017-04-16 13:58:38""","""格力大牌子，服务好，速度也挺快的，付款后第三天上午送到，当天预约安装，客服成芳服务好5分好评！","""j***7""",4
"""2017-04-23 17:08:51""","""真的没选错，格力好样的，以后会一直支持国货，还有客服小丘十分热情，对客户很耐心，选的就是这样的服务，给100个赞！","""灵***逸""",2
"""2017-04-19 16:05:58""","""好格力中国造，效果很好！送货速度快，安装师傅及时安装了，一切很满意，","""冯***川""",3
"""2017-04-18 10:57:09""","""客服成芳很耐心，发货速度也是杠杠的。两个安装师傅下雨天赶来安装完了还给收拾了卫生。空调还没用，不过服务态度真的很赞，从头到尾都很棒","""l***7""",3
"""2017-04-13 07:47:13""","""相信格力品牌相信董小姐的魅力。","""忘***4""",4
"""2017-04-21 13:46:27""","""空调不错  而且优惠  。装空调的师傅也很好说   细心","""t***2""",0
"""2017-04-19 12:01:01""","""格力大品牌，支持国产，好品质好信誉值得买！","""网***4""",0
